Date  20001101
Article  0  : ('伦敦外汇市场行情新华社伦敦', 1.0)('10月31日电', 1.0)
Article  1  : ('国', 1.0)('际市场贱金属价格新华社伦敦', 1.0)('10月31日电', 1.0)
Article  112  : ('0', 1.8485717550465162)('9', 1.4318454522596955)('步', 1.3680704)('的', 1.0000000000000013)
Article  113  : ('时', 1.1698463368367016)('调查', 1.1443612917963726)('组委会', 1.0000000000000007)('车手', 1.0000000000000004)
Article  114  : ('0', 1.3557477000321516)('的', 1.0000000000000009)('州', 1.0000000000000002)('军', 1.0000000000000002)
Article  115  : ('英', 1.0000000000000007)('潜艇', 1.0000000000000004)('核潜艇', 1.0000000000000002)('险', 1.0000000000000002)
Article  116  : ('8', 1.2513297478589647)('选', 1.0326150874421378)('民', 1.0000000000000007)('佛州最高法院', 1.0000000000000004)
Article  117  : ('盟', 1.0000000000000009)('国', 1.0000000000000007)('出国踢球', 1.0000000000000004)('美', 1.0000000000000004)
Article  118  : ('O', 1.4010404610339509)('0', 1.2987458175675157)('亲', 1.2142180540212837)('热', 1.1994045791907046)
Article  119  : ('0', 2.0590856489393072)('十', 1.2228094870502766)('令', 1.0000000000000002)('年', 1.0000000000000002)
Article  120  : ('家', 1.0000000000000002)('故', 1.0000000000000002)('居', 1.0000000000000002)('纪念', 1.0000000000000002)
Article  121  : ('方', 1.059558430892543)('国', 1.0547037337704084)('2', 1.035389809442775)('能', 1.028171257456486)
Article  122  : ('0', 1.1360183558230705)('一', 1.1242486268350687)('理', 1.0706939106651079)('市', 1.0356344912510356)
Article  123  : ('优势', 1.1121022410284647)('产', 1.027114835227988)('业', 1.0000000000000027)('经济', 1.0000000000000007)
Article  124  : ('0', 1.0000000000000002)('日', 1.0000000000000002)('几', 1.0000000000000002)('为', 1.0000000000000002)
Article  125  : ('扬', 1.2142180540212837)('有', 1.1467211473763264)('1', 1.054876445311775)('四季', 1.0000000000000004)
Article  126  : ('装', 1.2142180540212837)('欢迎', 1.0000000000000002)('市', 1.0000000000000002)('市公安局', 1.0000000000000002)
Article  127  : ('单', 1.2197545369466145)('丝', 1.2178376658406245)('生', 1.0032216111771697)('的', 1.0000000000000009)
Article  128  : ('绽', 1.0000000000000002)('开', 1.0000000000000002)('朵', 1.0000000000000002)('灿烂的', 1.0000000000000002)
Article  129  : ('仁', 1.9217078189300403)('智', 1.1776103047530406)('的', 1.0388691319534733)('民', 1.0000000000000024)
Article  130  : ('在浙江', 1.1773774567034236)('的', 1.0000000000000004)('可', 1.0000000000000004)('手续', 1.0000000000000004)
Article  131  : ('熊', 1.0143305785123966)('资', 1.0000000000000007)('者', 1.0000000000000002)('0', 1.0000000000000002)
Article  132  : ('老', 1.5396792148245093)('缩', 1.4364357394727134)('了', 1.3278325345616917)('否定', 1.2868258402156258)
Article  133  : ('缔约方', 1.0000000000000007)('长', 1.0000000000000004)('公', 1.0000000000000004)('开始', 1.0000000000000002)
Article  134  : ('一', 1.1488424266393498)('邯郸市', 1.0000000000000004)('方', 1.0000000000000004)('体育产业', 1.0000000000000002)
Article  135  : ('运作', 1.0626087107360116)('全', 1.0000000000000004)('金', 1.0000000000000004)('6亿元', 1.0000000000000004)
Article  136  : ('4', 1.2010056645551666)('的', 1.000000000000001)('制售假劣药品', 1.0000000000000007)('0', 1.0000000000000004)
Article  137  : ('成', 1.0000000000000002)('又', 1.0000000000000002)('赫哲族', 1.0000000000000002)('新', 1.0000000000000002)
Article  138  : ('内阁成员', 1.0000000000000004)('新', 1.0000000000000004)('集', 1.0000000000000002)('9', 1.0000000000000002)
Article  139  : ('尔', 1.282349738725564)('国', 1.000000000000001)('称', 1.0000000000000002)('新', 1.0000000000000002)
Article  140  : ('副总理', 1.0000000000000004)('吴邦', 1.0000000000000002)('与', 1.0000000000000002)('举行会谈', 1.0000000000000002)
Article  141  : ('尔', 1.3548007383806204)('和', 1.07803668013381)('1', 1.0000000000000004)('目', 1.0000000000000004)
Article  142  : ('伊拉克', 1.0000000000000007)('的', 1.0000000000000004)('裁', 1.0000000000000002)('新华社开罗11月1', 1.0000000000000002)
Article  143  : ('加', 1.0000000000000007)('埃及', 1.0000000000000004)('强', 1.0000000000000002)('9日在', 1.0000000000000002)
Article  144  : ('息', 1.255571341769261)('肥', 1.1071213990802589)('相', 1.0513400478804589)('谁', 1.0270612300668724)
Article  145  : ('拉', 1.214218054021284)('0', 1.1162558236535853)('1', 1.064238564859306)('时', 1.0511935993517454)
Article  146  : ('获得', 1.0000000000000007)('欣吉斯', 1.0000000000000004)('终', 1.0000000000000004)('她', 1.0000000000000004)
Article  147  : ('难', 1.2759371626618154)('在', 1.0000000000000007)('第四届世界杯室内足球赛', 1.0000000000000007)('俄罗斯队', 1.0000000000000004)
Article  148  : ('2', 1.0000000000000004)('小组赛', 1.0000000000000002)('1', 1.0000000000000002)('9', 1.0000000000000002)
Article  149  : ('以', 1.0000000000000007)('拒绝', 1.0000000000000004)('巴方', 1.0000000000000004)('谈判', 1.0000000000000002)
Article  150  : ('今天下午', 1.0000000000000004)('获得', 1.0000000000000004)('亚', 1.0000000000000004)('荷兰选手', 1.0000000000000002)
Article  151  : ('2', 2.154061880810852)('第', 1.3295661491264599)('喀', 1.0000000000000002)('赛冠军新华社', 1.0000000000000002)
Article  152  : ('倍', 1.3200709791754934)('愈', 1.2439069523071227)('委', 1.0858123106102546)('的', 1.0158244999130108)
Article  153  : ('人民币市场汇价新华社北京11月', 1.0)('20日电', 1.0)
Article  154  : ('海', 1.214218054021284)('民', 1.143246425227611)('人', 1.0679115911410932)('的', 1.0000000000000022)
Article  155  : ('决定辞', 1.0000000000000007)('部长会议', 1.0000000000000002)('主席', 1.0000000000000002)('费', 1.0000000000000002)
Article  156  : ('0', 1.71852000253443)('越', 1.2759371626618157)('1', 1.0754651594227609)('先', 1.0434551511287329)
Article  157  : ('1', 1.834376367258097)('0', 1.5661156015717723)('山', 1.485489058978212)('一', 1.0000000000000002)
Article  158  : ('0', 1.3649004465463879)('或', 1.2759371626618157)('轻', 1.208764636006989)('1', 1.096425296511113)
Article  159  : ('全国男篮甲A联赛', 1.0)('积分榜', 1.0)('新华社北京11月19日电', 1.0)
Article  160  : ('0', 1.664695965804913)('太', 1.0000000000000002)('体育', 1.0000000000000002)('在', 1.0000000000000002)
Article  161  : ('0', 1.3656092360153491)('缩', 1.2759371626618154)('1', 1.254343899974498)('辽宁盼盼队', 1.0000000000000007)
Article  162  : ('1', 1.386937732638586)('亿元', 1.1359901288853573)('变', 1.1245968330707734)('9', 1.0697478606582356)
Article  163  : ('优', 1.1596723976048746)('为', 1.071934149609189)('中', 1.0000000000000007)('年', 1.0000000000000007)
Article  164  : ('0', 1.6397251302967308)('1', 1.4563157508569073)('I', 1.445068972185883)('防', 1.211098506764586)
Article  165  : ('厂', 1.0000000000000002)('直', 1.0000000000000002)('的', 1.0000000000000002)('冶金', 1.0000000000000002)
Article  166  : ('合', 1.098698184392859)('业', 1.0000000000000004)('浙江', 1.0000000000000002)('进军', 1.0000000000000002)
Article  167  : ('9', 1.1645677139020707)('1', 1.0089920988442482)('鱼', 1.0000000000000009)('口', 1.0000000000000004)
Article  168  : ('9', 1.4791434568107713)('0', 1.385487159900025)('洼', 1.2397114678831507)('坑', 1.2256196470914744)
Article  169  : ('天', 1.402729824715779)('工', 1.068946661320891)('塔', 1.0000000000000013)('的', 1.000000000000001)
Article  170  : ('早', 1.2513297478589644)('优', 1.1359178156887644)('利', 1.086538777482183)('优质小麦', 1.000000000000003)
Article  171  : ('科', 1.2175458352298585)('报', 1.138590372633852)('一', 1.0000000000000004)('玩', 1.0000000000000002)
Article  172  : ('兰', 1.0000000000000007)('市区', 1.0000000000000004)('投资', 1.0000000000000004)('州', 1.0000000000000002)
Article  173  : ('喇', 1.2513297478589644)('转', 1.0000000000000004)('成', 1.0000000000000004)('在', 1.0000000000000004)
Article  174  : ('er', 1.2775615524859376)('1', 1.0532617302582725)('倒闭', 1.0000000000000016)('度', 1.0000000000000002)
Article  175  : ('0', 1.581412867136403)('凡', 1.3493593331404783)('1', 1.119616622284132)('机', 1.0000000000000002)
Article  176  : ('院', 1.5277520576131685)('9', 1.4449569789376864)('一', 1.1359306261776447)('幢', 1.1322644058936522)
Article  177  : ('会', 1.1118207260745694)('一', 1.0080905001933247)('旅游', 1.0000000000000047)('市', 1.000000000000001)
Article  178  : ('中', 1.1847877903308472)('销', 1.1041891674200706)('镇', 1.031554428439973)('与', 1.000000000000001)
Article  179  : ('0', 1.3974606554403974)('2', 1.1099123485608997)('集', 1.000000000000001)('实行', 1.0000000000000004)
Article  180  : ('会', 1.3542715072631837)('不', 1.0814163523478986)('的', 1.0000000000000049)('医院', 1.0000000000000022)
Article  181  : ('蛋白', 1.0470940754152067)('科', 1.0000000000000004)('冻', 1.0000000000000004)('种', 1.0000000000000004)
Article  182  : ('郁', 1.2661266776598183)('娃', 1.251329747858965)('葱', 1.2334603212486437)('飞', 1.1136562474402942)
Article  183  : ('研究人员', 1.0000000000000007)('中', 1.0000000000000004)('国', 1.0000000000000002)('马里', 1.0000000000000002)
Article  184  : ('次', 1.133957835963697)('建', 1.0000000000000002)('试行', 1.0000000000000002)('实行', 1.0000000000000002)
Article  185  : ('0', 1.6193510139852145)('产', 1.000000000000001)('业', 1.000000000000001)('的', 1.000000000000001)
Article  186  : ('新', 1.2924511849824893)('期', 1.1286923567520386)('点', 1.121841987740918)('知识', 1.1084395467016108)
Article  187  : ('1', 1.0474211870773853)('第一个', 1.0000000000000002)('进', 1.0000000000000002)('乌鲁木齐', 1.0000000000000002)
Article  188  : ('朵', 1.3656092360153491)('边', 1.338997306933697)('闪', 1.2816923534192655)('青', 1.1378693471349572)
Article  189  : ('边', 1.170936239394401)('公', 1.0491342879421262)('名', 1.0000000000000004)('1', 1.0000000000000004)
Article  190  : ('调', 1.6214115242975258)('产量', 1.1075635915797055)('争', 1.083325120821909)('一', 1.0389783053236272)
Article  191  : ('罚', 1.263484818946758)('铮', 1.2256196470914742)('管', 1.2121407742253625)('不', 1.1226177570477505)
Article  192  : ('有', 1.0000000000000004)('6名', 1.0000000000000004)('执', 1.0000000000000004)('在', 1.0000000000000002)
Article  193  : ('粮食', 1.0815595793324184)('省粮食', 1.0000000000000004)('保护', 1.0000000000000002)('幅', 1.0000000000000002)
Article  194  : ('做', 1.1451306959685168)('外向型', 1.0000000000000004)('当', 1.0000000000000004)('个体私营企业', 1.0000000000000002)
Article  195  : ('1', 1.1899823784722214)('固定资产投资', 1.0000000000000004)('完', 1.0000000000000004)('大', 1.0000000000000004)
Article  196  : ('大', 1.2491826512911177)('的', 1.0000000000000007)('发', 1.0000000000000004)('蛋白质', 1.0000000000000004)
Article  197  : ('F', 2.908911000946421)('抑制', 1.0000000000000009)('科学家发现', 1.0000000000000002)('通产省', 1.0000000000000002)
Date  20001121
Article  0  : ('2', 1.0686855805069106)('立', 1.0000000000000004)('就', 1.0000000000000002)('该州', 1.0000000000000002)
Article  1  : ('九', 1.20851699026815)('电', 1.1997914452751237)('一', 1.1020156875262979)('获最佳', 1.0000000000000018)
Article  2  : ('方', 1.5507335997951754)('息', 1.2256196470914744)('种', 1.1773913488200087)('的', 1.0402084532697637)
Article  3  : ('1', 1.2419473922902484)('南', 1.0000000000000007)('古城', 1.0000000000000004)('各', 1.0000000000000004)
Article  4  : ('日', 1.0789830806239962)('东', 1.0000000000000002)('连', 1.0000000000000002)('下跌', 1.0000000000000002)
Article  5  : ('国', 1.0000000000000009)('长', 1.0000000000000004)('呼吁', 1.0000000000000002)('新华社安曼11月', 1.0000000000000002)
Article  6  : ('得', 1.0000000000000004)('必须', 1.0000000000000004)('意', 1.0000000000000002)('协会主席', 1.0000000000000002)
Article  7  : ('1', 1.0000000000000004)('场', 1.0000000000000002)('变', 1.0000000000000002)('新华社莫斯科11月2', 1.0000000000000002)
Article  8  : ('保险', 1.160965542804997)('赔偿', 1.0979411118322506)('积极', 1.0000000000000009)('的', 1.0000000000000007)
Article  9  : ('人', 1.156708067173194)('运', 1.0000000000000004)('除', 1.0000000000000002)('次', 1.0000000000000002)
Article  10  : ('韩国队', 1.0000000000000007)('足球锦标赛', 1.0000000000000004)('中国队', 1.0000000000000004)('队', 1.0000000000000004)
Article  11  : ('好', 1.0000000000000002)('动', 1.0000000000000002)('口', 1.0000000000000002)('岸', 1.0000000000000002)
Article  12  : ('2', 1.101301869298101)('灾', 1.0000000000000004)('1', 1.0000000000000004)('香港', 1.0000000000000002)
Article  13  : ('作', 1.0000000000000009)('金', 1.0000000000000004)('韩', 1.0000000000000002)('朝鲜', 1.0000000000000002)
Article  14  : ('英', 1.0000000000000004)('2', 1.0000000000000004)('政', 1.0000000000000004)('政府为', 1.0000000000000002)
Article  15  : ('小', 1.0920525044172351)('不', 1.084066069652978)('1', 1.024777106015397)('的', 1.0000000000000027)
Article  16  : ('滑雪', 1.1368667384579838)('北大', 1.0000000000000004)('地进行', 1.0000000000000002)('元', 1.0000000000000002)
Article  17  : ('董事会', 1.3278325345616915)('汇丰', 1.0000000000000002)('正式', 1.0000000000000002)('新华社上海11月21日电', 1.0000000000000002)
Article  18  : ('0', 1.7504193217324582)('宁', 1.0000000000000004)('新华社南宁11月2', 1.0000000000000002)('朋', 1.0000000000000002)
Article  19  : ('一', 1.413077145782284)('成', 1.0000000000000004)('国', 1.0000000000000004)('泰康人寿', 1.0000000000000002)
Article  20  : ('1', 1.1009402378149002)('冕', 1.0000000000000004)('作', 1.0000000000000004)('特', 1.0000000000000002)
Article  21  : ('朝韩', 1.1492055651783346)('的', 1.011959363643747)('方', 1.000000000000001)('族', 1.0000000000000009)
Article  22  : ('党', 1.1388554816396275)('中', 1.035059703882293)('的', 1.0000000000000009)('会', 1.0000000000000004)
Article  23  : ('个', 1.0000000000000004)('准备', 1.0000000000000002)('其', 1.0000000000000002)('一', 1.0000000000000002)
Article  24  : ('尔', 1.2823497387255638)('科威特', 1.0990968496969147)('吴邦', 1.0000000000000004)('抵', 1.0000000000000002)
Article  25  : ('克', 1.0000000000000004)('华', 1.0000000000000002)('波兰', 1.0000000000000002)('使', 1.0000000000000002)
Article  26  : ('5', 1.3035159139475627)('站', 1.1877935731014364)('有', 1.1805605098645655)('活动', 1.0513174379257206)
Article  27  : ('戒', 1.5277520576131685)('中国国际象棋', 1.0000000000000007)('为', 1.0000000000000004)('队', 1.0000000000000002)
Article  28  : ('9', 1.5970428849896392)('地', 1.0624250422238897)('内', 1.025502155152701)('的', 1.0000000000000033)
Article  29  : ('集', 1.3634144695397716)('中国体育', 1.0000000000000002)('体育健儿', 1.0000000000000002)('上', 1.0000000000000002)
Article  30  : ('E', 1.271441723677383)('C', 1.1267952442169187)('33', 1.0000000000000004)('等', 1.0000000000000002)
Article  31  : ('破', 1.0000000000000004)('大', 1.0000000000000002)('案', 1.0000000000000002)('新闻发言人', 1.0000000000000002)
Article  32  : ('家', 1.3424336850186567)('举', 1.0000000000000002)('新华社西安11月2', 1.0000000000000002)('古城', 1.0000000000000002)
Article  33  : ('谈判', 1.0000000000000004)('察', 1.0000000000000004)('总统呼吁', 1.0000000000000002)('总统卡', 1.0000000000000002)
Article  34  : ('发', 1.0000000000000004)('有', 1.0000000000000004)('牛', 1.0000000000000004)('扩', 1.0000000000000002)
Article  35  : ('伸', 1.3010416666666664)('弯', 1.3010416666666664)('跳', 1.2346466677883707)('早', 1.214218054021284)
Article  36  : ('方', 1.0128864447086803)('分', 1.0000000000000004)('在', 1.0000000000000002)('主', 1.0000000000000002)
Article  37  : ('和', 1.1321620683999454)('1', 1.1066168187224834)('纪念', 1.0000000000000007)('中', 1.0000000000000004)
Article  38  : ('重点城市空气质量状况新华社北京11月', 1.0)('21日电', 1.0)
Article  39  : ('气', 1.0000000000000007)('发行', 1.0000000000000004)('票', 1.0000000000000002)('于', 1.0000000000000002)
Article  40  : ('0', 1.32651544703352)('市', 1.2437175456687617)('亚太经合组织', 1.0000000000000018)('会', 1.0000000000000018)
Article  41  : ('在', 1.0000000000000004)('500多万', 1.0000000000000002)('业', 1.0000000000000002)('大', 1.0000000000000002)
